n_purchases,n_agents,n_items,HHI,Entropy,TopShare
1,1,1,1.0,-0.0,1.0
8,1,4,1.0,-0.0,1.0
7,1,6,1.0,-0.0,1.0
8,1,5,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
5,2,5,0.52,0.6730116670092565,0.6
11,1,11,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
10,2,10,0.8200000000000001,0.3250829733914482,0.9
37,1,36,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
2,2,2,0.5,0.6931471805599453,0.5
7,1,7,1.0,-0.0,1.0
10,1,10,1.0,-0.0,1.0
21,1,21,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
14,1,14,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
17,1,17,1.0,-0.0,1.0
7,2,5,0.7551020408163265,0.410116318288409,0.8571428571428571
2,1,2,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
12,2,10,0.625,0.5623351446188083,0.75
10,1,1,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
25,1,25,1.0,-0.0,1.0
21,1,20,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
15,2,15,0.8755555555555556,0.2449300267946353,0.9333333333333332
6,1,6,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
11,1,8,1.0,-0.0,1.0
11,1,9,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
21,2,20,0.909297052154195,0.1914440819577173,0.9523809523809524
8,1,8,1.0,-0.0,1.0
12,1,12,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
14,1,9,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,2,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
17,1,12,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
57,2,29,0.5001538935056941,0.6929932791588755,0.5087719298245614
5,1,5,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
8,1,3,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
8,2,8,0.78125,0.3767701612564367,0.875
3,1,3,1.0,-0.0,1.0
9,1,9,1.0,-0.0,1.0
5,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
18,1,16,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
8,1,4,1.0,-0.0,1.0
20,1,20,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
4,1,1,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
10,1,9,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
50,1,33,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
17,1,16,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
11,1,11,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
2,2,2,0.5,0.6931471805599453,0.5
7,1,7,1.0,-0.0,1.0
11,1,11,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
7,2,7,0.7551020408163265,0.410116318288409,0.8571428571428571
10,1,10,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
22,1,2,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
7,2,4,0.510204081632653,0.6829081047004717,0.5714285714285714
11,1,10,1.0,-0.0,1.0
11,1,10,1.0,-0.0,1.0
16,1,14,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
10,1,10,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
17,1,17,1.0,-0.0,1.0
5,2,5,0.6800000000000002,0.5004024235381879,0.8
3,3,3,0.3333333333333333,1.0986122886681096,0.3333333333333333
5,1,5,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
12,1,8,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
22,2,20,0.6487603305785123,0.535959889216217,0.7727272727272727
16,2,15,0.53125,0.6615632381579821,0.625
5,1,4,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
7,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
26,1,25,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
10,1,10,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
9,1,7,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
13,2,12,0.57396449704142,0.6172417697303416,0.6923076923076923
1,1,1,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
4,1,3,1.0,-0.0,1.0
9,1,9,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
8,1,7,1.0,-0.0,1.0
10,1,10,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
15,2,14,0.768888888888889,0.3926744672275521,0.8666666666666667
6,1,6,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
8,1,8,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
8,2,8,0.78125,0.3767701612564367,0.875
13,1,9,1.0,-0.0,1.0
9,1,9,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
14,1,10,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
14,1,14,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,2,5,0.52,0.6730116670092565,0.6
20,1,20,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
6,2,6,0.5555555555555556,0.6365141682948128,0.6666666666666666
7,1,7,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
13,1,13,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
10,1,10,1.0,-0.0,1.0
17,1,17,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
9,1,9,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
7,2,7,0.7551020408163265,0.410116318288409,0.8571428571428571
1,1,1,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
44,3,10,0.5237603305785123,0.7755029276062699,0.6590909090909091
4,1,4,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
9,2,8,0.8024691358024691,0.3488320958430319,0.8888888888888888
13,1,13,1.0,-0.0,1.0
15,1,15,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
5,1,1,1.0,-0.0,1.0
14,1,13,1.0,-0.0,1.0
6,2,6,0.7222222222222223,0.4505612088663046,0.8333333333333334
4,1,4,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
9,1,8,1.0,-0.0,1.0
3,1,3,1.0,-0.0,1.0
7,1,6,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
5,1,1,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
12,1,12,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
2,1,2,1.0,-0.0,1.0
6,2,6,0.5555555555555556,0.6365141682948128,0.6666666666666666
59,1,22,1.0,-0.0,1.0
9,1,9,1.0,-0.0,1.0
8,4,8,0.34375,1.2130075659799042,0.5
6,1,6,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
2,2,2,0.5,0.6931471805599453,0.5
1,1,1,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
10,1,8,1.0,-0.0,1.0
1,1,1,1.0,-0.0,1.0
15,1,14,1.0,-0.0,1.0
4,2,3,0.625,0.5623351446188083,0.75
1,1,1,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
4,1,4,1.0,-0.0,1.0
6,1,6,1.0,-0.0,1.0
13,1,12,1.0,-0.0,1.0
9,1,8,1.0,-0.0,1.0
7,1,5,1.0,-0.0,1.0
5,1,5,1.0,-0.0,1.0
7,1,7,1.0,-0.0,1.0
6,2,4,0.5,0.6931471805599453,0.5
2,1,2,1.0,-0.0,1.0
